"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2009","42.47","47.00","49.83","38.92","171.23M","-9.14%"
"12/01/2008","46.74","45.96","50.10","41.54","149.56M","-4.00%"
"11/01/2008","48.69","47.99","51.50","39.45","156.23M","-2.03%"
"10/01/2008","49.70","49.90","50.96","37.57","267.07M","-0.94%"
"09/01/2008","50.17","54.84","56.69","48.35","170.97M","-12.94%"
"08/01/2008","57.63","61.85","62.49","56.25","120.24M","-6.20%"
"07/01/2008","61.44","68.91","69.10","59.98","132.08M","-11.69%"
"06/01/2008","69.57","70.64","71.74","66.70","107.98M","-4.05%"
"05/01/2008","72.51","72.51","77.69","71.06","99.23M","-0.38%"
"04/01/2008","72.79","60.36","73.35","60.25","86.57M","20.02%"
"03/01/2008","60.65","64.08","66.54","58.94","106.00M","-6.51%"
"02/01/2008","64.87","63.34","67.56","62.38","90.00M","1.44%"
"01/01/2008","63.95","73.78","75.87","57.85","109.91M","-12.60%"
"12/01/2007","73.17","72.87","76.50","72.10","54.07M","0.59%"
"11/01/2007","72.74","77.99","79.77","69.81","83.61M","-6.73%"
"10/01/2007","77.99","69.22","78.58","67.24","105.73M","12.46%"
"09/01/2007","69.35","66.81","72.11","66.76","65.45M","2.95%"
"08/01/2007","67.36","69.89","70.33","61.10","102.84M","-2.94%"
"07/01/2007","69.40","72.95","75.25","68.79","83.58M","-3.80%"
"06/01/2007","72.14","66.75","72.49","65.93","92.22M","7.66%"
"05/01/2007","67.01","67.74","69.96","65.69","74.86M","-0.46%"
"04/01/2007","67.32","65.36","69.75","64.42","68.06M","3.97%"
"03/01/2007","64.75","61.00","65.86","58.62","104.38M","5.22%"
"02/01/2007","61.54","63.72","64.40","60.97","72.57M","-3.10%"
"01/01/2007","63.51","67.27","67.27","61.29","95.62M","-5.35%"
"12/01/2006","67.10","67.76","68.88","66.20","56.78M","-1.44%"
"11/01/2006","68.08","67.51","69.11","65.75","67.08M","1.46%"
"10/01/2006","67.10","65.82","69.49","63.52","77.26M","2.32%"
"09/01/2006","65.58","67.88","68.60","63.81","81.91M","-3.63%"
"08/01/2006","68.05","72.17","73.28","66.91","82.04M","-6.16%"
"07/01/2006","72.52","70.30","72.98","68.15","72.73M","4.18%"
"06/01/2006","69.61","69.61","72.38","64.19","82.04M","-1.54%"
"05/01/2006","70.70","74.25","76.67","68.50","81.57M","-4.10%"
"04/01/2006","73.72","69.50","76.85","69.49","64.42M","6.93%"
"03/01/2006","68.94","66.92","70.68","65.35","65.50M","3.79%"
"02/01/2006","66.42","71.99","72.58","66.01","66.83M","-8.15%"
"01/01/2006","72.31","65.50","72.88","65.47","82.28M","12.60%"
"12/01/2005","64.22","67.06","69.25","63.26","60.82M","-2.46%"
"11/01/2005","65.84","66.28","68.87","64.24","63.87M","-0.84%"
"10/01/2005","66.40","71.13","71.25","63.41","90.28M","-6.28%"
