"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2005","53.78","51.95","56.33","49.81","175.45M","3.42%"
"04/01/2005","52.00","59.18","59.42","50.65","224.71M","-10.82%"
"03/01/2005","58.31","62.08","62.13","56.74","178.40M","-6.07%"
"02/01/2005","62.08","54.65","63.15","54.63","114.33M","14.12%"
"01/01/2005","54.40","52.46","54.55","50.40","108.45M","3.60%"
"12/01/2004","52.51","54.69","54.90","50.99","115.51M","-3.83%"
"11/01/2004","54.60","53.06","55.21","51.80","116.71M","2.90%"
"10/01/2004","53.06","53.61","56.07","51.91","112.95M","-1.08%"
"09/01/2004","53.64","48.80","54.49","48.75","143.38M","10.03%"
"08/01/2004","48.75","47.83","49.42","46.21","142.50M","1.92%"
"07/01/2004","47.83","47.02","48.25","46.38","108.68M","1.66%"
"06/01/2004","47.05","45.41","47.50","44.77","131.97M","4.09%"
"05/01/2004","45.20","45.80","47.33","44.01","135.24M","-1.20%"
"04/01/2004","45.75","43.98","47.08","43.95","128.14M","4.24%"
"03/01/2004","43.89","44.38","45.71","42.17","125.06M","-0.63%"
"02/01/2004","44.17","43.16","44.49","42.13","85.18M","2.32%"
"01/01/2004","43.17","43.24","44.26","41.99","117.95M","-0.07%"
"12/01/2003","43.20","38.31","43.49","37.62","118.88M","15.05%"
"11/01/2003","37.55","37.27","37.92","35.57","86.34M","1.08%"
"10/01/2003","37.15","35.80","37.50","35.62","115.80M","3.97%"
"09/01/2003","35.73","36.49","37.28","35.35","105.45M","-1.95%"
"08/01/2003","36.44","36.15","37.15","35.02","98.95M","1.08%"
"07/01/2003","36.05","36.10","36.79","35.45","110.20M","-0.14%"
"06/01/2003","36.10","35.75","38.12","35.52","122.87M","1.78%"
"05/01/2003","35.47","31.57","35.70","31.07","164.84M","12.93%"
"04/01/2003","31.41","32.41","32.98","31.26","126.00M","-2.85%"
"03/01/2003","32.33","32.27","33.33","30.85","151.85M","0.75%"
"02/01/2003","32.09","32.20","33.01","31.11","114.51M","-0.34%"
"01/01/2003","32.20","33.60","35.20","30.66","150.67M","-3.13%"
"12/01/2002","33.24","33.60","34.56","32.87","113.82M","-0.84%"
"11/01/2002","33.52","33.88","34.83","32.70","136.58M","-0.86%"
"10/01/2002","33.81","34.92","37.72","33.15","154.07M","-2.34%"
"09/01/2002","34.62","37.62","38.25","34.10","112.90M","-9.63%"
"08/01/2002","38.31","36.88","40.00","33.80","127.70M","2.16%"
"07/01/2002","37.50","44.25","44.47","32.82","187.45M","-15.25%"
"06/01/2002","44.25","43.98","44.38","42.50","102.79M","1.44%"
"05/01/2002","43.62","43.36","45.25","43.23","105.02M","0.62%"
"04/01/2002","43.35","44.98","45.52","41.77","105.86M","-3.94%"
"03/01/2002","45.13","42.22","45.80","42.10","100.47M","6.89%"
"02/01/2002","42.22","41.70","42.80","40.40","101.51M","0.76%"
"01/01/2002","41.90","44.80","45.25","40.55","115.91M","-6.47%"
"12/01/2001","44.80","42.51","45.52","41.79","102.34M","5.39%"
"11/01/2001","42.51","44.27","45.11","41.00","132.75M","-3.98%"
"10/01/2001","44.27","41.92","46.88","41.04","163.05M","4.46%"
"09/01/2001","42.38","45.55","46.66","39.30","124.66M","-6.61%"
"08/01/2001","45.38","45.77","46.80","44.70","105.74M","-0.70%"
